screen_name,description,url,followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot,ff_ratio,modified_date,last_numeric,sn_length,sn_digitcount,sn_lastone,desc_length,diversity,null_url
bxv_cell,"Alert for pre-print manuscripts in Cell biology, sources bioarxiv #openaccess #cell #cellbiol by @wpgilks",,1,1,1,0,0,1,1,0,0,bxv_cell,1,925,2016-05-27,False,6,0,47,103,42,0
FretboardNomad,My twitter needs a solid updatin'.,,1,2,0,3,0,1,0,0,0,Ryan Horton,0,536,2012-01-09,False,12,0,39,32,26,0
PeterHamby,Head of News @Snap. Host of @Snapchat's Good Luck America. @CNN vet. Board @GUPolitics & @ShorensteinCtr. Levon fan. Wrote this (pre-Trump) https://t.co/LkAAioNpID,,3,3,3,3,1,3,0,0,0,Peter Hamby,0,1084,2007-04-20,False,8,0,60,161,45,0
lettergamebot,Let's play letter games!,,0,0,1,0,0,2,1,0,0,Countdown bot,1,1008,2016-03-11,False,11,0,55,22,23,0
CharlizeAfrica,,https://t.co/jCCfY8WzvR,3,2,3,2,1,1,0,0,0,Charlize Theron,0,1756,2009-09-09,False,12,0,36,1,33,1
ilyaf,"@indexventures, @Dropbox, Startups, Physics.",,2,2,2,2,0,1,1,0,0,Ilya Fushman,0,1015,2008-03-16,False,3,0,41,42,51,0
YesYoureSexist,Inspired by @YesYoureRacist.,,2,1,2,3,0,2,1,0,0,Yes You're Sexist,0,1305,2012-11-06,False,12,0,55,26,26,0
benparr,"Co-founder and CMO of @OctaneAI _ôî« // Author of @Captivology // Investor (uBeam, Shots) // Advisor (Lufthansa, RebelMouse) // Formerly Mashable, CNET",https://t.co/i7H2HjjQ3V,3,3,3,3,1,3,0,0,1,Ben Parr #SXSW,0,1194,2007-12-10,False,5,0,53,149,40,1
UzairKK,,,1,2,0,1,0,0,0,0,0,Uzair ALi Khan,0,346,2009-05-15,False,5,0,20,1,40,0
Isadora_Romera,,,0,1,0,1,0,0,0,0,0,Isadora Lima ,0,291,2013-10-01,False,12,0,36,1,26,0
2blessed_exe,Bot by @czircon. #botALLY,https://t.co/b6Jew2xZ5t,0,0,1,0,0,2,1,0,0,2blessed.exe,1,1177,2016-04-08,False,10,1,40,23,21,1
mimuine,"Get thousands followers with this website, fast, cheap and easy. at https://t.co/5IUBOuvsyT",None,1,3,0,0,0,1,0,0,0,Polly Frederick,0,146,2014-08-02,False,5,0,40,89,26,0
wadinfo_txt,I am a bot. @vectorpoem created me to post random places from the worlds of Doom every day.,http://t.co/Ubu8OfnSzr,2,1,2,1,0,1,0,0,0,WADBOT,1,1281,2014-04-05,False,9,0,55,89,46,1
joaxt1985,Praise is what I do...,,0,2,0,1,0,0,1,0,0,joaxt1985,1,61,2016-01-31,True,7,4,5,20,51,0
thedismalblog,A blog about everything finance and economics. Content not necessarily all dismal.,https://t.co/wAm8fB4gpr,0,1,0,0,0,0,1,0,0,Dismal Blogger,1,230,2017-02-21,False,11,0,42,80,48,1
jimmyc20,"Jimmy, Jim, JC - Attorney, Red Sox fan, Uconn Alumus",,0,1,0,2,0,0,1,0,0,James Connors,0,208,2010-10-26,True,6,2,0,50,42,0
epigen_papers,Chromatin & epigenetics paper feed from #Pubmed and #Arxiv - hear it here first! Comments & suggestions welcome. Also http://t.co/0Lque7l3ZD By @mariamdemidova,http://t.co/gekuYAnIhy,2,0,2,1,0,3,0,0,0,epigenetics_papers,1,1649,2014-05-27,False,11,0,54,157,23,1
nnnahnibor,I like to eat,https://t.co/MQbJ7YAGnu,1,2,0,3,0,2,0,0,1,ROBIN,0,440,2009-11-04,False,8,0,53,11,24,1
grantimahara,"Host of White Rabbit Project on Netflix, former MythBuster and special FX modelmaker.",,3,2,3,2,1,3,0,0,0,Grant Imahara,0,1713,2009-04-03,False,10,0,36,83,21,0
brainchatbot,A chat bot trying to become the most intelligent bot on the Internet. Can answer any What is question by looking up the answer on the Internet.,http://t.co/6Hyxtx3u6F,2,1,3,0,0,3,1,0,0,Brain Bot,1,1195,2013-11-25,False,10,0,55,141,29,1
thehitwoman,Former card counter turned poker pro turned Mom turned ad sales turned down for what! erica@roamadvertising.com,,2,2,3,2,1,1,0,0,1,Erica Lindgren,0,1216,2009-03-27,False,9,0,49,109,36,0
kathygriffin,"2-time Emmy award & Grammy award-winning comedian. Order my new book, Kathy Griffin's Celebrity Run-Ins: My A-Z Index now! #GriffinTellsAll",https://t.co/tkyoqETDV1,3,0,3,1,1,2,0,0,0,Kathy Griffin,0,2019,2009-02-17,False,10,0,49,137,38,1
AZRERockStar,"I'm a transitioning Active Duty Military Officer and an active Arizona Real Estate Agent w/West USA Realty, specializing in Residential and Luxury Real Estate.",https://t.co/ZlOU9Fh0HA,2,3,1,0,0,0,0,0,0,Jason Wagner,1,332,2011-07-21,False,10,0,53,157,47,1
AkashLahuKale7,,,0,1,0,0,0,0,1,0,1,Akash Lahu Kale,1,278,2016-01-05,True,12,1,7,1,33,0
aneesh_k,,,0,0,0,0,0,0,1,1,0,ANEESH,0,588,2009-06-10,False,6,0,46,1,42,0
bjork,,http://t.co/A8VeS10ygk,3,1,3,1,1,1,0,0,0,bjí_rk,0,1926,2007-08-17,False,3,0,46,1,51,1
johnlegend,,https://t.co/ZfQQjHOJN6,3,3,3,3,1,3,0,0,0,John Legend,0,1890,2008-12-18,False,8,0,39,1,34,1
lois_caskey,,,0,1,0,0,0,0,0,0,1,loiscaskey,1,210,2017-12-03,False,9,0,60,1,46,0
TheChocolateMoo,I am a moose. I am made of chocolate.,,0,1,1,1,0,0,1,0,0,TheChocolateMoose,1,867,2012-07-10,False,13,0,50,35,21,0
midlifemason,"Revolutionary socialist, still young and handsome.",,2,1,1,2,0,0,1,0,0,MidLifeMason,0,1249,2016-09-16,False,10,0,49,48,38,0
NSA_PRISMbot,An experiment in speculative surveillance.,,2,1,2,1,0,2,1,0,0,NSA PRISM,0,1126,2013-06-22,False,10,0,55,40,47,0
fontcriticbot,Criticises fonts from http://t.co/wWmvMyo5Zf for the more discerning of authors. A bot created by @eegnsma,,0,0,1,0,0,1,0,0,0,Font Critic,1,998,2015-07-02,False,11,0,55,104,17,0
AllTimeLow,Run by the band & crew to give you an inside look into our lives on the road. New album Last Young Renegade out June 2. Pre-order at https://t.co/Bn7LYaYwcO _È_´Ùè,https://t.co/Bn7LYaYwcO,3,3,3,3,1,2,0,0,0,All Time Low,0,1270,2010-03-12,False,8,0,58,161,45,1
NathanBenaich,"Investor and technologist. All things #AI and emerging tech. Former research scientist, photographer, perpetual foodie.",https://t.co/YEUYxgGQG8,2,3,3,3,0,2,0,0,0,Nathan Benaich,0,789,2011-11-27,False,11,0,43,117,23,1
Shawndafut,Relationships and the Law of Attraction. Click Here:,http://t.co/OQkH7uhWe9,1,3,0,0,0,0,1,0,0,Shawnda Ferranti,0,393,2011-11-20,False,8,0,55,50,45,1
choochoobot,A mighty locomotive sweeps through rugged landscapes. // Eine mí_chtige Dampflokomotive braust durch winzige Landschaften. Pí_nktlich alle 4 Stunden. // by @xor,,2,0,2,2,0,1,1,0,0,trains botting,1,1631,2016-03-11,False,9,0,55,158,4,0
AJchica84,Inspiring designs to help people do great things,,0,2,0,2,0,0,1,0,0,AJchica84,1,43,2016-11-26,True,7,2,4,46,44,0
DataCorpLTD,"DATACORP TECHNOLOGY LTD: https://t.co/6gHUH9wHfE, #Marketing, #Corporate Service, #Hosting, #Server, #Technology and #Seo. https://t.co/WZ0HSy60Ke",https://t.co/WZ0HSy60Ke,3,3,2,2,0,2,1,0,0,DATACORP TECHNOLOGY,0,1030,2013-10-18,False,9,0,13,144,36,1
VanityScience,Purveyor of custom scientific eponyms since 2014. Eponyms coined for random followers every few hours. Bot by @arbesman.,http://t.co/k9ivDE0Qmx,1,0,1,0,0,2,1,0,0,Vanity Science,1,1448,2013-12-22,False,11,0,40,118,23,1
EnjoyTheFilm,I love movies!,http://t.co/EVAMnaNitA,1,1,1,0,0,1,0,0,0,Enjoy The Film!,1,1130,2012-03-31,False,10,0,48,12,51,1
ProjectSeagrass,"Advancing the conservation of seagrass through education, influence, research and action. Directors: @RJlilley, @ZosteraR, @BoardshortsBen and @LCullenUnsworth.",http://t.co/Pjs11W9pLZ,2,3,2,3,0,2,0,0,0,Project Seagrass,0,800,2013-05-22,False,13,0,54,158,28,1
IshitaMukishi,,,0,1,0,0,0,0,1,0,0,Ishita Mukherjee,0,464,2014-08-27,False,11,0,44,1,23,0
youareherebot,your uninterrupted surface for reality // lost? turn on location for the tweet and ask me ''where am I?'' // built by @_hartsick for a(nother) stupid hackathon,https://t.co/0Qjf5aj7n6,0,0,1,0,0,0,1,0,0,You Are Here,1,1095,2015-05-09,False,11,0,55,157,23,1
ismail_abaid,,https://t.co/4NKFOoe9oX,2,3,0,0,0,0,1,0,0,Ismail abaid,1,562,2016-06-22,False,10,0,39,1,21,1
Rajesh37123986,,None,0,2,0,0,0,0,1,0,0,Rajesh,1,120,2017-03-11,True,12,8,6,1,49,0
Hollon1120,"All Tins Zombie. Art, Culture, andNews.",,0,1,0,2,0,0,1,0,0,Lorine Hollon,1,239,2016-11-16,True,8,4,0,37,24,0
Jason,Angel investor (@uber @thumbtack @wealthfront) Founder @Engadget @Inside @LAUNCH @twistartups / come to https://t.co/3Ugs6Cmos5,https://t.co/akc7KgXv7J,3,3,3,3,1,3,0,0,1,jason,0,1533,2006-08-05,False,3,0,49,125,51,1
imgconvos,"@-mention me in a tweet from any reply thread between the image bots i follow, and i'll make a gif out of their conversation // by @thricedotted",https://t.co/1nSo6q0iJq,2,1,2,0,0,2,0,0,0,äù_ image bot convos äù_,1,1206,2014-11-17,False,7,0,54,142,44,1
PMbschandra,,,0,1,0,0,0,0,1,0,1,Santhosh Chandra B,0,218,2017-02-02,False,9,0,36,1,46,0
sleeps_xmas,How many sleeps until christmas? #NaBoMaMo,https://t.co/uVT7m9zb66,0,0,1,0,0,0,1,0,1,sleeps until xmas,1,985,2016-11-01,False,9,0,54,40,27,1
everysnake,all kinds of snakes. task will complete inŒæ2018. // by @inky,http://t.co/PdagJGqVMR,2,0,2,0,0,3,0,0,0,every snake,1,1576,2014-06-15,False,8,0,40,59,34,1
tonyparker,Twitter officiel de Tony Parker - https://t.co/OS6S7Jed28,,3,1,3,2,1,1,0,0,0,Tony Parker,0,1917,2009-10-04,False,8,0,53,55,45,0
Gustfernandes__,,,0,1,0,0,0,1,0,0,0,Gustavo Fernandes,0,501,2011-01-20,False,13,0,26,1,28,0
FollowNoire,"You dont have to follow this account, Just follow this one @LethargicJOE to get your free follow ;) Thanks!",https://t.co/b2ykX32whE,1,2,0,0,0,0,1,0,0,FREE FOLLOW-READ BIO,1,558,2017-02-08,False,9,0,40,105,27,1
AllOilPainting,Welcome to http://t.co/OgGcZs9E0w. I hope to immerse you into a world all about  Oil Painting. It can become a serious passion. I Love painting!,http://t.co/8r6a25Il6y,2,3,2,0,0,1,0,0,0,Oil Painting,1,900,2009-05-25,False,12,0,42,142,20,1
rpavlovD,,,0,1,0,2,0,0,1,0,0,Rudie Desravines,0,220,2016-12-06,False,6,0,13,1,42,0
henrymcmaster,Governor of South Carolina,https://t.co/X9EyaXTGNp,2,2,2,2,1,1,0,0,0,Henry McMaster,0,1111,2008-09-17,False,11,0,53,24,31,1
lava_mite,lava lamps are more interesting when they're not quite bubbling (by @_knutaf),http://t.co/1qZZFe0VGU,0,0,1,1,0,1,1,0,0,LavaMite,1,1113,2014-02-10,False,7,0,40,75,44,1
BestOfTheBots,"#bot. Retweets once every hour. @PistachioRoux and @Jonbro. Thanks to all the botmakers, bots, and @botALLY!",,2,2,2,0,0,3,0,0,0,BestOf TheBots,1,827,2013-11-22,False,11,0,54,106,23,0
plzasm,Tweet me an Intel x86 instruction and I'll assemble it for you! Put #x64 in your tweet for 64-bit code. Created by @RedragonX and @DefuseSec.,https://t.co/j2tyaxkmp1,1,0,1,1,0,1,1,0,0,Assembly Bot,1,1265,2014-11-06,False,4,0,48,139,51,1
litpatches_txt,A bot by @lizardengland that combines great literary works with World of Warcraft (and other game) patch notes.,,1,0,2,0,0,1,0,0,0,litpatches_txt,1,1524,2015-06-09,False,12,0,55,109,33,0
RoomtoRead,We partner with communities across Asia & Africa to promote literacy and girls' education. World Change Starts with Educated Children.,http://t.co/y7zraXFXC4,3,3,3,3,1,2,0,0,0,Room to Read,0,1147,2009-08-11,False,8,0,39,132,24,1
LeeRecioy,Forex trader. Pc/laptop setup builder.Slots in traderoom.Dm for details. Gamer at https://t.co/fwIBjJHC7H,https://t.co/Jopt6bRqbC,2,3,1,3,0,1,0,0,1,Lee Recioy,0,780,2014-03-28,False,7,0,60,103,32,1
ellygdesign,I've been cushioned against having to work; with Rocky's continual bounty.,,0,2,0,1,0,0,1,0,0,ellygdesign,1,16,2017-12-07,False,9,0,49,72,27,0
D33PAK_BHASKAR,ConnectingTheDots Strategy DataGovernance DQ MDM Metadata Compliance NoSQL BigData Cloud IOT Retail Mobile eCommerce Marketing Finance Payments Risk TweetsMyOwn,https://t.co/IqAilCJkgl,2,3,3,3,0,3,0,0,0,Data Programs Guy,0,463,2012-10-08,False,12,2,28,158,26,1
prettyomatic,"Hi, I'm Pretty. #digitalarchival. Virus Corp. Mad King Ludwig GPS. #techtraderoutes #insideTarasphone #whatsgoingon101 #otherpeoplesadvertising",,2,3,1,2,0,1,0,0,0,pretty-o-matic,0,215,2011-06-09,False,10,0,38,141,38,0
"""mathmoreo""","""Biological weapon of small scale inconvenience.Rated posts if ever and all around weirdo. Plays online games if you want to play with?""","""https://t.co/XkCCLxvGKH""",1,2,1,3,0,2,0,0,1,"""AlolaFen""",0,273,2016-03-14,False,9,0,26,134,27,1
freefollow20071,,,1,3,0,0,0,0,1,0,0,free follow,1,171,2014-08-16,True,13,5,1,1,21,0
jem,"Platinum Recording Artist, Producer, Writer, Director, Art-Lover, Entrepreneur, 24/7 Creative Opportunist. Changing the world one song at a time..!",https://t.co/e5xnY4LVp5,2,3,3,3,1,1,0,0,0,Jem,0,919,2009-10-06,False,1,0,48,145,51,1
ilkinhasanov89,"Freelance journalist, MA graduate Caucasus School of Journalism and Media Management at GIPA",https://t.co/7oszlvOuuX,1,2,1,3,0,1,0,0,1,Ilkin Hasanov,0,592,2012-02-23,True,12,2,9,90,33,1
DWJensen63,There must be a better way than this.,,1,2,0,3,0,1,1,0,0,David Jensen,0,299,2012-09-28,True,8,2,3,35,34,0
dscovr_epic,Pictures from the Earth Polychromatic Camera on the DSCOVR spacecraft. (An unofficial bot by @russss),https://t.co/LhctEpMH4C,2,0,2,0,0,2,0,0,0,DSCOVR:EPIC,1,1712,2015-10-21,False,9,0,38,99,46,1
KashubaEsposito,JoÅç uvek na put od vde dotamo...,,0,1,0,2,0,0,1,0,0,Esposito Kashuba,1,158,2017-01-31,False,13,0,50,31,28,0
movienasha,#movies #bollywood #hollywood #tollywood #reviews !! @mohitbansal541 is the Founder of this blog.,https://t.co/jVEAmusw2f,2,3,1,2,0,1,1,0,0,Movienasha,0,507,2015-10-07,False,8,0,36,95,45,1
stronginmyfaith,,,0,0,0,0,0,0,1,1,0,laurie lindeman,0,388,2009-07-13,False,13,0,43,1,34,0
coolbot420,verb noun every day // a bot by @inky,http://t.co/PdagJGqVMR,1,1,2,0,0,3,0,0,0,___ˆuâù_ç_ˆ-Ä_noÄô,1,1077,2014-09-20,True,8,3,0,35,34,1
_LostBuoy_,"Station 51000 went adrift on 3/10/2013. Unmoored, the NOAA buoy now transmits observation data from an unknown location.",http://t.co/ms9TAAqEY0,1,1,2,0,0,3,1,0,0,Station 51000,1,1023,2013-10-25,False,8,0,26,118,34,1
lixoxept96,"In the end, only kindness matters.",,0,2,0,2,0,0,1,0,0,lixoxept96,1,129,2016-10-29,True,8,2,6,32,45,0
armspirits,...,,2,3,0,2,0,1,1,0,0,kpop,1,474,2015-06-27,False,8,0,54,1,24,0
Saliva,"Check out our new album Love, Lies & Therapy. Visit https://t.co/9JcTXbz5bK for more info. Also new content @ salivachannel on Youtube.",https://t.co/9jNS9j2qxv,3,1,3,3,1,1,0,0,0,Saliva Music,0,1463,2009-03-31,False,4,0,36,133,38,1
DJCLUE,C.E.O OF NYC...I Just Run The Town..I Don't Do Too Much Jogging ! DJCLUEBOOKINGS@GMAIL.COM,https://t.co/1ywYDlhgch,3,2,3,1,1,3,0,0,0,DJ CLUE,0,1767,2009-03-16,False,4,0,14,88,51,1
jansfarmera,"MICANs, unite.",,0,2,0,1,0,0,1,0,0,Janyce Smith,1,88,2017-12-07,False,9,0,36,12,27,0
KananGill,Writer. Comedian. Desi Kalakaar https://t.co/AKyYZsdoh6 Bookings: rishabh@oml.in Snapchat: kanangill,,3,3,2,3,1,2,1,0,0,Kanan Gill,0,1621,2012-10-24,False,7,0,47,98,21,0
Graceful_Dolans,TURN ON NOTIFICATIONSäìÂ,,2,3,0,2,0,0,1,0,0,READ PINNED TWEET!!!,1,318,2016-06-07,False,13,0,54,22,41,0
litoraptor,phding among other things,,2,3,2,3,0,3,0,0,1,__Bored Woman__,1,563,2011-04-04,False,8,0,53,23,24,0
regulon_papers,Twitterbot of papers related to gene regulation and regulatory elements in Drosophila #PubMed/#bioRxiv .   imageSource: google images. created by @pra514,,0,0,1,0,0,0,1,0,0,regulonPapers,1,1058,2015-07-30,False,12,0,54,151,33,0
TheYearofLuigi,REMEMBER MY NAME.,https://t.co/S4EJdKUDqR,2,1,2,1,0,3,1,0,0,He's-a-back!,1,1239,2013-08-14,False,12,0,44,15,40,1
TCmiamey,Instagram : Trviswilliams,,0,3,0,2,0,1,1,0,0,TCmiamey,1,50,2016-07-08,False,6,0,60,23,42,0
carol_morandin,"Aquariana, Ciumenta, Simp’çtica, Extrovert’_da, Bugrina, Divertida, Pregui’_osa.",,1,2,0,0,0,0,0,0,0,Carol Morandin,0,385,2011-04-18,False,12,0,49,78,26,0
happjon1,how was the lot scene?,,1,2,1,3,0,2,0,0,0,Happmonster,0,497,2008-12-16,True,6,1,1,20,42,0
oldschoolflyers,Posting random flyers from hip hop's formative years every 6 hours. Most art by Buddy Esquire and Phase 2. Full collection at link. // a bot by @tinysubversions,http://t.co/2YPE0x0Knw,2,0,2,0,0,2,1,0,0,Old School Flyers,1,1634,2015-03-24,False,13,0,54,158,21,1
Pamela_Brunson,"Live Well, Love Much, & Laugh Often",http://t.co/ilZfTUErtc,2,2,2,2,1,2,0,0,0,Pamela Brunson,0,1207,2009-05-02,False,12,0,49,33,40,1
Acrostician,"A Creative Robot Of Statistical Text Intelligence Capabilities, from @bgawalt. Reads tweets, generates poems.",http://t.co/CB62gYrGiB,0,1,1,0,0,2,1,0,0,Acrostician,1,916,2014-05-17,False,9,0,49,107,36,1
film_girl,"Senior writer @Gizmodo Was @Mashable, co-host @ovrtrd @_RocketFM @bbgtl. Obsessed with media and tech. I rule. christina.warren@gizmodo.com opinions = own",https://t.co/pU60V2hpgM,3,3,3,3,1,3,0,0,1,Christina Warren,0,1026,2007-11-01,False,7,0,47,152,32,1
WeirdConvoBot,DAD: weird conversation joke is bae ME: ugh dad no DAD: [something unhip] // a bot by @tinysubversions,,1,0,2,0,0,2,0,0,0,Weird Convo Bot,1,1432,2015-02-01,False,11,0,55,100,39,0
traedwardsx,The United States is not stingy. We are the greatest contributor to international efforts in the world.,,0,2,0,2,0,0,1,0,0,traedwardsx,1,21,2016-10-27,False,9,0,59,101,27,0
joeyallen28,"Husband to Mary Ellen Allen. Father to Chandler and Chase Allen, two teenage LHP baseball fanatics. Sales Manger at Wood Sales, Co., Mississippi State fan,",,1,2,0,1,0,0,1,0,0,Joey Allen,0,402,2011-08-08,True,9,2,8,153,36,0
vike29,Updated Daily for tips to lose weight from me and from others.,,0,2,0,2,0,0,1,0,0,vike29,1,42,2016-09-18,True,4,2,9,60,51,0
botacokewith,by @NoraReed,,1,0,2,0,0,1,1,0,0,Bot A Coke With,1,1421,2016-05-23,False,10,0,43,10,38,0
quantifiedinky,BIG DATA // @inky,,0,0,1,0,0,1,0,0,0,quantified inky,1,971,2014-07-14,False,12,0,60,15,33,0
NicenessBot,"Send a direct message mentioning people you really like :)                  (I'm a bot, and I do only use the @ of who you mention) (I'm a bit busy, be patient)",,2,0,1,1,0,3,1,0,0,_ù_,1,1553,2015-11-13,False,9,0,55,158,36,0
emojidoll,Tweet äóì@emojidoll meäóù to get your own unique emojidoll based on your twitter account. Over 15.6M possible combos. Made by @mroth.,,2,0,2,1,0,3,1,0,0,emojidoll,1,1677,2014-07-09,False,7,0,47,131,32,0
benkweller,"record maker, non faker, speaker blower, lawn mower, song writer, top liner, bass fisher, peace wisher. #Austin",https://t.co/nTnpPyXZF3,3,2,3,3,1,2,0,0,1,Ben Kweller,0,1309,2008-06-07,False,8,0,53,109,24,1
brayanh27,Music & meltdowns,,0,3,0,2,0,1,0,0,0,brayanh27,1,106,2015-01-02,True,7,2,7,15,44,0
Na1U1AX56WrkBSc,,,0,1,0,2,0,1,1,0,0,Wanda Martin,1,484,2017-02-05,False,13,4,38,1,50,0
NeuroGen_papers,"Twitterbot from @TheGBLab! Follow me to stay up to date with research in #Alzheimer's, #Parkinson's & #Neurogenetics in general. Also on http://t.co/3j9Cwnqq9i",http://t.co/mPSP4UWryR,2,0,2,0,0,3,0,0,0,NeuroGenetics papers,1,1626,2014-09-07,False,13,0,54,157,28,1
"""MoixaTechnology""","""Moixa Technology changing the way we produce and use #electricity. A leading pioneer of Smart Storage & DC technologies @USBCELLbattery @energypension""","""http://t.co/29Fz0AdDev""",2,3,2,2,0,1,1,0,0,"""Moixa Group""",0,702,2015-06-25,False,15,0,26,150,37,1
WaryJT2,Subscribe to WaryJT on YouTube,https://t.co/zyablh43eE,2,3,1,2,0,0,0,0,0,WaryJT,0,929,2016-02-17,True,5,1,2,28,51,1
sexyeveryword,"every sexy word in the english language, with the top sexy image search result. probably a bad idea. the worst. // @thricedotted's mistake",https://t.co/iEclQxz694,1,0,1,0,0,1,1,0,0,sexy everyword,1,1315,2014-09-21,False,11,0,39,136,23,1
russwest44,WHY NOT ?,https://t.co/AuFqEZ4r4m,3,3,3,2,1,2,0,0,0,Russell Westbrook,0,1851,2009-04-28,True,8,2,4,7,24,1
skyree_21,Hi im skyree21 and yeah the background of my picture is a pokemon name,None,0,1,0,1,0,0,1,0,0,skyree21,1,139,2016-12-09,True,7,2,1,68,44,0
"""eh_services""","""Electrical retailer in Belfast selling everything from TV's, washing machines, batteries and many more, if you need it we have it, delivery service available.""","""https://t.co/K4a5oaUS7H""",1,2,1,2,0,1,1,0,0,"""EH SERVICES""",0,525,2013-07-05,False,11,0,26,158,23,1
khloekardashian,Get my official app #unlockmyworld https://t.co/t7gWBbUMY7,https://t.co/lQ9Dniv0qm,3,2,3,2,1,3,0,0,0,Khloí©,0,1971,2009-04-18,False,13,0,49,56,28,1
"""m_a_n_a_v_1609""","""I provide 100 IV Max CP pokemons. Plus can help you in farming xp/stardust/candies\nDonate if you want special 100 IV Max cp anytime\nhttps://t.co/tcW2YRnAED""",null,1,1,1,3,0,1,0,0,1,"""StarDustFarmPokemnGo""",0,942,2016-10-07,False,14,4,26,157,18,0
"""PokeAlertMalmo""","""Alerting the public of rare Pok_mon appearing in Malm_. Happy hunting! (@PokeAlertLund, @PokeAlertTbg)""","""https://t.co/FzanqGezW1""",2,0,1,2,0,3,1,0,0,"""Pok_mon Alert Malm_""",1,1654,2016-07-29,False,14,0,26,102,29,1
glossatory,SOCIAL ON GLOSSATORY: the branch of the considered addered poker by looses - a bot by @bombinans,https://t.co/hcUNcUdlcq,0,0,1,0,0,1,0,0,0,GLOSSATORY,1,1037,2016-05-11,False,8,0,60,94,34,1
NelCoetzee,Christian. Deaf. Student @StellenboschUni . Proudly South African. Follows ___ endorsements.,,1,2,1,2,0,2,0,0,0,Nel Coetzee,0,495,2009-06-05,False,8,0,40,90,24,0
freddurst,n o t h a n k y o u,,3,1,3,1,1,2,0,0,0,Fred Durst,0,1949,2009-10-09,False,7,0,55,17,32,0
Reince45,@WhiteHouse Chief of Staff. Tweets may be archived: https://t.co/eVVzoBb3Zr.,https://t.co/wyOVgSLgBV,3,1,3,0,1,0,1,0,0,Reince Priebus,0,1835,2016-11-29,True,6,2,5,74,42,1
namie98,Meow! Lets chat with me. (my login same in tw) -  https://t.co/r6C9nuWBbb,,0,3,0,0,0,0,1,0,0,Uoker Rozamond,0,130,2009-06-26,True,5,2,8,71,51,0
CyberEveryword,¥_£¥__¥_¢¥_«¥__¥_£¥_¿¥_¬¥_¬¥_«¥_£¥_Ç¥_©¥_¬¥__Üóó¥_£¥__¥_¢¥_«¥__¥__¥_¿¥_µÜóó¥_£¥__¥_¢¥_«¥__¥_‡¥_©¥_Ç¥_ÂÜóó¥_£¥__¥_¢¥_«¥__¥_Ç¥_Â¥_«Üóó¥_£¥__¥_¢¥_«¥__¥_å¥_ç¥_Ç¥_«¥__¥_ÇÜóó¥_£¥__¥_¢¥_«¥__¥__¥_¿¥_£¥_ç¥_¢¥_µ¥_å¥_ç¥__¥__,,2,0,2,1,0,3,1,0,0,¥_£¥__¥_¢¥_«¥__¥_«¥__¥_«¥__¥__¥_‡¥_¿¥__¥__¥_†,1,1725,2014-08-09,False,12,0,39,168,26,0
BioinfoPapers,"An up-to-date list of recent bioinformatics publications, for your convenience.",,1,0,1,1,0,1,0,0,0,Bioinformatics paper,1,1464,2014-06-13,False,11,0,54,77,39,0
wasif91,,,1,3,0,1,0,0,0,0,0,Mohammad Wasif,0,309,2011-07-09,True,5,2,1,1,51,0
Underviewed,"Real life, seldom seen.",http://t.co/0Rj9h21Fzi,1,0,1,2,0,1,0,0,0,Underviewed,0,1285,2014-09-10,False,9,0,39,21,27,1
metal_or_magic,heavy metal song title or magic the gathering card name? Œ‡ bot by @ckolderup Œ‡ #botALLY Œ‡ concept h/t @elcapaldo & Medel,,0,0,1,0,0,2,0,0,0,Metal or Magic,1,959,2015-05-13,False,12,0,38,121,33,0
brngnr,Good is subjetive.,,1,2,0,3,0,3,0,0,0,princesinha de cps,0,572,2009-06-25,False,4,0,53,16,21,0
theroser,"We are the music makers, and we are the dreamers of dreams...",https://t.co/x8QqjUP8f9,3,2,3,3,1,3,0,0,0,Jason Rosen,0,1320,2008-09-28,False,6,0,53,59,29,1
nievesgilbert11,"Jaais cesser de croire en soi Haters_Be_HatingTeamBreezy A$AP TemPS,TeamFCBarcaTeamManUnited",,0,1,0,1,0,0,1,0,0,Nieves Gilbert,1,49,2017-02-19,True,13,2,1,90,28,0
kerianngala,"So in love with Jesus ? Married to the love of my life @jeffhgala, Traveler, Executive Assistant @lifestonepgh, Grad Student, TX-PA ?",None,1,1,1,2,0,0,0,0,0,Keriann Gala,0,618,2016-02-19,False,9,0,36,131,27,0
bandofhorses,'Why Are You OK' out now - https://t.co/G7QeyE3fLV,https://t.co/KcS6ANtb3a,3,3,3,3,1,1,0,0,0,Band of Horses,0,1160,2009-02-03,False,10,0,54,48,38,1
igottwiter,,,0,2,0,1,0,1,1,0,0,WI,0,228,2009-06-21,False,8,0,53,1,24,0
Waxmice,MAX WEISS BUFFALO NY 26 AND FLY,https://t.co/UaMGHEzZPe,1,2,0,3,0,2,1,0,0,Wax Mice,0,589,2013-11-14,False,5,0,40,29,51,1
JozyAltidore,Family over everything,https://t.co/qFMG8GXYmG,3,2,3,3,1,1,0,0,0,Jozy Altidore,0,1772,2009-04-22,False,10,0,40,20,47,1
BEugeneSmith,"totes masc, all wizard",https://t.co/qC3JSU5PIj,2,2,2,3,0,2,0,0,0,B. Eugene Smith,0,876,2011-04-07,False,10,0,43,20,47,1
